30;42;10;25;0;21;0;28;28;2
30;49;10;27;0;32;0;28;28;2
30;47;12;27;0;24;0;33;28;2
30;47;12;27;0;26;0;29;28;2
30;39;13;27;0;24;19;27;27;2
48;42;20;29;0;30;20;27;29;2
32;45;11;27;0;25;16;27;24;2
57;42;11;27;0;29;16;27;24;2
38;39;12;30;0;22;16;32;24;2
38;42;12;30;0;33;16;31;34;2
38;41;11;30;0;27;16;28;30;2
38;41;11;33;0;33;16;28;32;2
38;47;10;33;0;25;15;28;32;2
38;43;9;33;0;23;13;28;32;2
27;43;9;33;0;23;12;33;32;2
27;51;9;33;0;34;18;33;30;2
27;59;9;33;0;28;18;37;38;2
32;43;11;37;0;31;18;37;38;2
32;65;11;35;0;28;23;37;34;2
32;53;11;35;0;23;23;37;34;2
32;44;11;35;0;29;27;32;34;2
30;62;14;35;0;28;27;31;31;2
29;44;14;35;0;32;33;36;36;2
29;45;12;38;0;20;28;36;38;2
29;59;16;36;0;38;28;36;38;2
29;61;15;41;0;28;28;36;38;2
29;61;15;41;0;33;28;36;38;2
29;49;12;41;0;30;25;32;38;2
29;36;12;41;0;28;18;31;29;2
29;46;15;30;0;24;23;31;31;2
42;43;16;35;0;29;14;31;35;2
50;44;11;30;0;24;14;31;35;2
40;45;17;30;0;26;14;30;35;2
44;43;20;30;0;30;14;25;24;2
44;42;16;30;0;28;14;40;37;2
44;44;10;38;0;28;14;40;37;2
44;48;10;35;0;28;14;40;33;2
44;45;13;34;0;23;19;40;33;2
44;46;13;34;0;27;20;29;33;2
31;43;14;34;0;34;18;36;35;2
29;50;14;34;0;33;24;29;28;2
29;68;14;37;0;30;24;29;39;2
25;47;14;44;0;30;28;29;43;2
48;38;13;13;10;15;0;21;14;3
48;38;15;16;9;11;0;21;14;3
47;22;16;13;13;16;0;13;14;3
44;31;29;13;8;13;0;14;14;3
69;22;27;13;8;11;0;12;14;3
52;22;30;13;11;15;0;17;16;3
66;22;23;13;9;16;0;17;16;3
66;24;31;13;12;14;0;17;16;3
66;24;31;12;13;12;0;17;16;3
66;24;35;12;13;14;0;13;16;3
47;27;36;12;12;12;0;17;15;3
44;25;27;12;12;16;0;17;8;3
43;25;40;11;12;13;0;17;12;3
42;34;52;11;16;14;0;17;15;3
42;34;49;22;20;19;0;17;15;3
42;34;44;22;17;13;0;18;15;3
42;34;51;22;17;15;0;16;18;3
42;34;40;19;14;18;0;16;18;3
69;32;36;16;17;15;0;16;17;3
59;32;28;20;17;17;0;16;17;3
74;30;24;20;19;18;0;21;17;3
74;31;33;20;19;17;0;21;22;3
74;33;27;20;14;14;0;24;20;3
74;36;21;20;13;13;0;24;20;3
74;31;18;19;13;14;0;24;20;3
74;31;17;22;13;17;0;24;20;3
44;29;13;18;13;13;0;24;20;3
40;32;24;18;13;11;0;16;20;3
64;24;18;18;13;9;0;15;16;3
47;25;24;20;13;11;0;15;20;3
47;26;20;20;10;10;0;15;20;3
47;28;24;13;9;9;0;15;20;3
47;24;30;13;16;10;0;15;20;3
47;24;28;13;17;10;0;15;12;3
71;21;22;13;13;10;0;7;10;3
48;25;24;13;11;12;0;7;14;3
65;25;31;13;14;12;0;7;11;3
65;27;35;12;14;12;0;7;11;3
65;22;54;12;17;12;0;12;11;3
