à€Oï˜Cþ48;30;22;0;0;21;0;17;0;x
48;38;20;0;17;14;0;19;23;x
48;38;26;0;9;11;0;21;22;x
48;38;13;13;10;15;0;21;14;x
48;38;15;16;9;11;0;21;14;x
47;22;16;13;13;16;0;13;14;x
44;31;29;13;8;13;0;14;14;x
69;22;27;13;8;11;0;12;14;x
52;22;30;13;11;15;0;17;16;x
66;22;23;13;9;16;0;17;16;x
66;24;31;13;12;14;0;17;16;x
66;24;31;12;13;12;0;17;16;x
66;24;35;12;13;14;0;13;16;x
47;27;36;12;12;12;0;17;15;x
44;25;27;12;12;16;0;17;8;x
43;25;40;11;12;13;0;17;12;x
42;34;52;11;16;14;0;17;15;x
42;34;49;22;20;19;0;17;15;x
42;34;44;22;17;13;0;18;15;x
42;34;51;22;17;15;0;16;18;x
42;34;40;19;14;18;0;16;18;x
69;32;36;16;17;15;0;16;17;x
59;32;28;20;17;17;0;16;17;x
74;30;24;20;19;18;0;21;17;x
74;31;33;20;19;17;0;21;22;x
74;33;27;20;14;14;0;24;20;x
74;36;21;20;13;13;0;24;20;x
74;31;18;19;13;14;0;24;20;x
74;31;17;22;13;17;0;24;20;x
44;29;13;18;13;13;0;24;20;x
40;32;24;18;13;11;0;16;20;x
64;24;18;18;13;9;0;15;16;x
47;25;24;20;13;11;0;15;20;x
47;26;20;20;10;10;0;15;20;x
47;28;24;13;9;9;0;15;20;x
47;24;30;13;16;10;0;15;20;x
47;24;28;13;17;10;0;15;12;x
71;21;22;13;13;10;0;7;10;x
48;25;24;13;11;12;0;7;14;x
65;25;31;13;14;12;0;7;11;x
65;27;35;12;14;12;0;7;11;x
65;22;54;12;17;12;0;12;11;x
65;22;41;12;17;15;0;12;11;x
65;22;46;22;13;20;0;20;21;x
65;22;29;22;15;20;0;20;20;x
43;29;28;18;18;20;0;20;20;x
46;29;32;22;9;16;0;20;20;x
56;29;23;22;17;18;0;13;20;x
71;29;23;22;17;16;0;15;15;x
60;28;31;20;17;14;0;17;17;x
60;28;22;27;12;17;0;17;26;x
60;28;28;27;9;20;0;17;26;x
